success_level,profession,level,percentage,number,type,end_profession,end_level,end_percentage,total,energy_cost,percentage_increase,luck,bonus
0,beginner,7,94,300,fir timber,beginner,9,55,90,57,161,0,0
0,beginner,9,59,300,cedar timber,beginner,10,80,90,49,121,0,0
0,beginner,10,80,300,cedar timber,apprentice,1,75,93,48,95,0,0
0,apprentice,1,75,300,cedar timber,apprentice,2,59,92,51,95,2,6
0,apprentice,4,6,300,fir timber,apprentice,4,64,88,48,58,3,6
0,apprentice,4,64,300,mapple timber,apprentice,5,19,92,51,55,3,6
0,apprentice,5,19,400,birch timber,apprentice,5,85,117,69,66,3,6
0,apprentice,5,85,300,fir timber,apprentice,6,31,88,50,46,3,6
0,apprentice,6,61,300,mapple timber,apprentice,7,4,85,NAN,43,3,6
0,apprentice,7,4,300,birch timber,apprentice,7,42,94,47,38,3,6
0,apprentice,7,42,300,mapple timber,apprentice,7,80,83,45,38,3,6
0,apprentice,7,80,300,mapple timber,apprentice,8,17,93,49,37,3,6
0,apprentice,8,38,300,birch timber,apprentice,8,72,87,48,34,3,6
0,apprentice,8,92,300,cedar timber,apprentice,9,23,90,50,31,3,6
0,apprentice,9,23,300,mapple timber,apprentice,9,53,90,49,30,3,6
0,apprentice,9,54,300,ash timber,apprentice,9,84,84,47,30,3,6
0,apprentice,9,84,300,birch timber,apprentice,10,13,92,54,29,3,6
0,apprentice,10,41,400,cedar timber,apprentice,10,77,120,68,32,4,6
0,apprentice,10,77,400,cedar timber,skilled,1,12,114,64,35,4,6
0,skilled,1,12,400,fir timber,skilled,1,45,116,64,33,5,6
0,skilled,1,45,400,fir timber,skilled,1,75,118,66,30,5,0
0,skilled,1,75,400,mapple timber,skilled,2,7,124,59,32,5,6
0,skilled,2,7,400,mapple timber,skilled,2,35,120,59,28,5,6
0,skilled,2,35,400,mapple timber,skilled,2,35,120,59,28,5,6
0,skilled,2,35,400,birch timber,skilled,2,64,115,64,29,5,6
0,skilled,2,64,300,cedar timber,skilled,2,85,98,51,21,5,6
0,skilled,2,85,400,birch timber,skilled,2,13,119,66,28,5,6
1,skilled,3,13,400,ash timber,skilled,3,38,119,67,25,2,5
1,skilled,3,38,400,cedar timber,skilled,3,64,124,65,26,2,5
1,skilled,3,64,400,mapple timber,skilled,3,89,116,66,25,2,5
1,skilled,3,89,400,birch timber,skilled,4,12,116,64,23,2,0
1,skilled,4,12,400,cedar timber,skilled,4,35,116,62,23,2,5
1,skilled,4,35,400,fir timber,skilled,4,58,114,52,23,2,5
1,skilled,4,58,400,birch timber,skilled,4,81,134,60,23,2,5
1,skilled,4,81,400,birch timber,skilled,5,4,117,68,23,2,5
